ERR2143759d	ERR2143767d	ERR2143768d	ERR2143784d	ERR2143785d	ERR2143794d	ERR2143795d
ERR2143759d	0	0	1	0.466712654475005	0	0.466712654475005	0.466712654475005
ERR2143767d	0	0	1	0.466712654475005	0	0.466712654475005	0.466712654475005
ERR2143768d	1	1	0	0.984633856070101	1	0.984633856070101	0.984633856070101
ERR2143784d	0.466712654475005	0.466712654475005	0.984633856070101	0	0.466712654475005	0	0
ERR2143785d	0	0	1	0.466712654475005	0	0.466712654475005	0.466712654475005
ERR2143794d	0.466712654475005	0.466712654475005	0.984633856070101	0	0.466712654475005	0	0
ERR2143795d	0.466712654475005	0.466712654475005	0.984633856070101	0	0.466712654475005	0	0
