ERR2143759d	ERR2143767d	ERR2143768d	ERR2143784d	ERR2143785d	ERR2143794d	ERR2143795d
ERR2143759d	0	0	0.64609	0.027075361456	0	0.100679158976	0.0268039156
ERR2143767d	0	0	0.64609	0.027075361456	0	0.100679158976	0.0268039156
ERR2143768d	0.64609	0.64609	0	0.643127899664	0.64609	0.635075492544	0.6431575964
ERR2143784d	0.027075361456	0.027075361456	0.643127899664	0	0.027075361456	0.07360379752	0.000271445856000019
ERR2143785d	0	0	0.64609	0.027075361456	0	0.100679158976	0.0268039156
ERR2143794d	0.100679158976	0.100679158976	0.635075492544	0.07360379752	0.100679158976	0	0.073875243376
ERR2143795d	0.0268039156	0.0268039156	0.6431575964	0.000271445856000019	0.0268039156	0.073875243376	0
